Sl. No.,Name of Company & Address (Email),Name of the Representative,Telephone No,Web Address
27,"Benham Pharmaceuticals LtdHouse # 60/1, Road # 12/A, Dhanmondi, Dhaka-1209E-mail:benhampharmaceuticals@yahoo.com,info.shuvodey@gmail.com",Mr. Bishajit Sarker,9532223,-
28,"Beacon Pharmaceuticals Ltd.Beacon Business Centre, 9/B/2 Toyenbee Circular Road, Motijheel CA, Dhaka-1000E-mail:ulfat@beaconpharma.com.bd",Ms. Ulfat Karim,57165377,Visit Website
29,"Bios Pharmaceuticals LtdHouse # 6, Road # 4, Block-E, Section-2, Mirpur, Dhaka-1216E-mail:haris@biosbd.com",Mr. Harisul Hoque,"8032182
8033835",-
30,"Bangla-German Latex Co. LtdPlot 178 & 179 (Extension Area), DEPZ, Ganakbari, Savar, Dhaka-1229E-mail:bglc@rediffmail.com",Mr. Khandaker Mohiuddin,7701857-8,-
31,"Bangladesh Industrial Gases Ltd.BSCIC Industrial Estate, Tarotia, TangailE-mail:bigl.gases@gmail.com",Mr. Md. Abul Hossain,01711-045703,-
32,"Bridge Pharmaceuticals Ltd.West Tengra, Post: Sarulia, Demra, Dhaka-1361E-mail:associates_mir@yahoo.com",Mr. Mir Shahidul Hoque,7502854,-
33,"Bangladesh Antibiotic Industries Ltd.19 Dhanmondi R/A, Road # 07, Dhaka-1205E-mail:ruk@bpl.net",Mr. Rizvi Ul Kabir,58611001-7,Visit Website
34,"Beximco PPE LimitedHouse # 24 (New) 17 (old), Bir Uttam M A Rob Sarok, Road # 02, Dhanmondi, Dhaka-1205E-mail:info@beximtex.com",Mr. Khalid Shahrior,"58612040
09609655555",-
35,"Cipla LimitedSutrapur, Bogra-5000E-mail:ciplaltd@bttb.net.bd",Mr. Murtoza Ali Reza,"051-66823
Dk-8621401",-
36,"Crescent Pharmaceuticals Ltd30 New Eskaton Road, Dhaka-1000E-mail:aua@opsonin.net",Mr. Syed Golam Rahman,"9332262
9356533",-
37,"Chemist Laboratories Ltd19/2 Eskaton Garden, Holy Family Road, Dhaka-1000E-mail:md@chemistbd.com,dir-marketing@chemistb.com",Mr. Golam Sarwar,01707-453255,-
38,"Cosmo Pharma Laboratories Ltd115/B (2nd Floor), Road # 7, New DOHS, Mohakhali, DhakaE-mail:cosmopharmaltd@yahoo.com,malibpmd@yahoo.com",Mr. Abu Shahadat Mohammad Ali,01752-892731,-
39,"Cosmic Pharma LimitedPlot # I/21, Block-K, Section-2, Rupnagar I/A, Mirpur, Dhaka-1216E-mail:islam.manir@yahoo.co.uk,saiful.pharma@yahoo.com",Mr. Md. Manirul Islam,9007479,Visit Website
40,"Central Pharmaceuticals Ltd2-A/1 South-West Darus Salam Road (2nd Floor), Mirpur-1 Dhaka-1216E-mail:munsurcpl@gmail.com,cpl.factoty@gmail.com",Mr. Munsur Ahamed,"58056079
48040674",Visit Website
41,"Concord Pharmaceuticals Ltd.Sima Blossom (11th Floor), House # 3 (New), 390 (Old), Road # 16 (New) 27 (Old), Dhanmondi, Dhaka-1205E-mail:sbfml.rahman@gmail.com",Mr. Md. Faizur Rahman,9146311-13,Visit Website
42,"C2C Pharma LtdHouse # 51, Road # 19, Uttara, Dhaka-1230E-mail:a.u.zaman@c2cpharma.com.bd",Mr. Ashraf-Uz Zaman,"55085207-8
01955-597802",-
43,"Doctor's Chemical Works Ltd44 Dilkusha CA, Dhaka-1000E-mail:-",Umme Habiba Khatun-e-Jinnat,"9558412
9551981",-
44,"Drug International Limited252 Tongi I/A, Tongi, GazipurE-mail:hadoo.1983@yahoo.com,info@drug-international.com,sshimu786@gmail.com",Mr. M A Haider Hussain,0222334,Visit Website
45,"Drug International LimitedPlot # 13A & 14A, Tongi Industrial Area, Squibb Road, Tongi, GazipurE-mail:hadoo.1983@yahoo.com,info@drug-international.com,sshimu786@gmail.com",Mr. M A Haider Hussain,02223362613-4,Visit Website
46,"Drug International Limited31/1 Satrong Road, Gopalpur, Tongi Industrial Area, Tongi, GazipurE-mail:hadoo.1983@yahoo.com,info@drug-international.com,sshimu786@gmail.com",Mr. M A Haider Hussain,02223362614,Visit Website
47,"Desh Pharmaceuticals (Pvt) LtdPlot # AH1/7, Milkvita Road, Section-7, Mirpur, Dhaka-1216E-mail:deshpharma@dbn-bd.net",Mr. Mohammad Lutfor Rahman,"9000090
9349085",-
48,"Delta Pharma LimitedHouse # 501, Road # 34, New DOHS, Mohakhali, Dhaka-1206E-mail:zakir@deltapharmabd.com",Dr. Md. Zakir Hossain,"22222192
8711645-7",Visit Website
49,"Delta API LimitedHouse # 501, Road # 34, New DOHS, Mohakhali, Dhaka-1206E-mail:zakir@deltapharmabd.com",Dr. Md. Zakir Hossain,"22222192
8711645-7",Visit Website
50,"Decent Pharma Laboratories LtdHouse # 131, Block-A, Road # 4, Banani, Dhaka-1213E-mail:kawsar_dpl@yahoo.com",Mr. Md. Robiul Islam,"9854834-7
8853192",-
51,"DBL Pharmaceuticals LimitedSouth Avenue Tower (6th Floor), 7 Gulshan Avenue, House # 50, Road # 03, Gulshan-01, Dhaka-1212E-mail:m.khalid@dbl-group.com,regulatory@dbl-pharma.com",Mr. Ahmed Kamrul Alam,58817735-36,Visit Website
52,"Essential Drugs Company Ltd.395-97 Tejgaon IA, Dhaka-1208E-mail:edclsm@yahoo.com",Prof. Dr. Ehsanul Kabir,9130489-90,-
53,"Eskayef Pharmaceuticals LtdPlot # 82, Road # 14, Block-B, Banani, Dhaka-1213E-mail:smn@transcombd.com,mmn@skf.transcombd.com",Ms. Simeen Rahman,"58810561
58814662",Visit Website
54,"Edruc LimitedHossain Tower (4th & 7th Floor) 116 Box Culvert Road, Naya Paltan, Dhaka-1000E-mail:edruclimited@gmail.com",Barrister Noor-Al-Fahad Khan,9345087,Visit Website
55,"Ethical Drugs Ltd15/3/A Tallabag, Sobhanbag, Dhaka-1207E-mail:mdibrahim81155@ethicalgroup.net,mdibrahim81155@gmail.com",Mr. Rahmat Ullah,01755632979,-
56,"Everest Pharmaceuticals LtdRahman's Regnum Centre (6th Floor), 191/1 Tejgaon I/A, Dhaka-1208E-mail:hrm@everestpharmabd.com,ceo@everestpharmabd.com",Mr. Mohammad Moznu Mollah,8878897,-
57,"Euro Pharma LtdRose View Plaza (11th Floor), 185 Bir Uttam CR Datta Road, Hatirpool, Dhaka-1205E-mail:admin@europharmabd.com",Dr. Borhan Uddin Khan,9612910-11,-
58,"Eon Pharmaceuticals Ltd.304 Tejgaon I/A, Tejgaon, Dhaka-1208E-mail:info@eongroup.net.bd",Mr. Momin Ud Dowlah,"9897865
9860231",-
59,"F n F Pharmaceuticals Ltd.Urban Stream Commercial Complex (Level-3), 18 New Eskaton Road (R.K Menon Road), Dhaka-1000E-mail:fnfpharma@dhaka.net",Mr. Mokhlesul Islam,01711-810507,-
60,"General Pharmaceuticals LtdSara Aftab Tower, 29 Ring Road, Holding # 6/1/A, Shyamoli, Adabor, Dhaka-1207E-mail:info@generalpharma.com",Mr. Sakibul Haq,"9142469
9639667788",Visit Website
61,"General Pharmaceuticals Ltd. (Unit-2)Sara Aftab Tower, 29 Ring Road, Holding # 6/1/A, Shyamoli, Adabor, Dhaka-1207E-mail:rafidul@generalpharma.com",Mr. Rafidul Haq,"9142469
9639667788",Visit Website
62,"Globe Pharmaceuticals LtdPlot # 3/Ka, Tejgaon I/A, Dhaka-1208E-mail:globe16rashid@gmail.com,info@globe-uro.com",Mr. Md. Harunur Rashid,8879301-4,-
63,"Globe Drugs LtdPlot # 3/Ka, Tejgaon I/A, Dhaka-1208E-mail:mamunurrashidmp@gmail.com,mkanam1953@yahoo.com",Mr. Md. Mamunur Rashid,8879301-4,-
64,"G A Company133-134 Tejgaon I/A, Dhaka-1208E-mail:muktadir.gaco@gmail.com",Mr. Omer Farooque,01713-440700,-
65,"Great Bengal Chemical & Phar. Works Ltd52 Islamabad Market, ChittagongE-mail:-",Mr. Z H Chowdhury,223798,-
66,"Globex Pharmaceuticals LtdAbbasuddin Complex (3rd floor), 88/3 North Jatrabari, Dhaka-1204E-mail:hafizglobex@gmail.com",Mr. Shafiuddin Ahmed,7551173,-
67,"Greenland Pharmaceuticals LtdPlot # C-168, BSCIC Industrial Estate, Tongi, Gazipur-1710E-mail:imtiaz.tuhin@hotmail.com",Mr. Imtiaz Ahmed,9802030,Visit Website
68,"Gentry Pharmaceuticals Ltd.House # 82, Lake Drive Road, Sector-07, Uttara, Dhaka-1230E-mail:pharma@gentrypharma.com",Mr. Mostafa Kamal,"7912936
8931056-7",Visit Website
69,"Get Well LimitedGa-105/1 PRAN-RFL Centre, Middle Badda, Dhaka-1212E-mail:-",Mr. Chowdhury Kamruzzaman,9881792,-
70,"Global Capsules Limited37 Segunbagicha, Dhaka-1000E-mail:ask@opsonin.net,saleheen.gcl@opsonin.net",Capt. Abdus Sabur Khan (Retd.),9337111,-
71,"Goodman Pharmaceuticals Ltd.House - 60, Road 16, Dhanmondi, Dhaka-1209E-mail:arif@goodmanpharmabd.com",Mr. Md. Arif Hossain,58317458-60,Visit Website
72,"Genvio Pharma LimitedVila Placidium, Suite # A1, House # 07, Road # 2/D, Block-J, Baridhara, Dhaka-1212E-mail:ceo@genvio.com.bd",Mr. M Ashraful Alam,9859856-57,Visit Website
73,"Hudson Pharmaceuticals LtdHouse # 157, Lane-3 (Eastern Road), New DOHS, Mohakhali, Dhaka-1206E-mail:aunik@bdcom.com",Mr. S M Shafiuzzaman,"58815372-3
9896175",-
74,"Hallmark Pharmaceuticals LtdUttara Center (13 floor), 102 Shahid Tajuddin Ahmed Sarani Tejgaon IA, Dhaka-1208E-mail:cmdsec@ugc-bd.net,hpl@ugc-bb.net",Mr. Matiur Rahman,"81707208
8170902-7
9130917",-
75,"Healthcare Pharmaceuticals Ltd.Nasir Trade Centre (Level 8, 9 & 14), 89 Bir Uttam CR Datta Sarak, Banglamotor, Dhaka-1205E-mail:md.halimuzzaman@hplbd.com",Mr. Muhammad Halimuzzaman,9610101996,Visit Website
76,"Healthcare Chemicals LimitedPlot # A-9 & A-10, API Industrial Park, BSCIC Gazaria, MunshigonjE-mail:md.zunayed@gmail.com",Mr. Nayeem Md. Zunayed,09610101996,Visit Website
77,"Hosaf Gene Cure Pharmaceuticals Co. Ltd.High Tower, 9 Mohakhali CA (9th floor), Dhaka-1212E-mail:hosaf@dhaka.net",Mr. Moazzam Hossain,"9899068
9899279",-
78,"The IBN SINA Pharmaceutical Industry PLCTanin Centre, 3 Asad Gate, Mirpur Road, Mohammadpur, Dhaka-1207E-mail:sadrul05@gmail.com",Prof. Dr. AKM Sadrul Islam,"410221141
41022150-58",Visit Website
79,"Incepta Pharmaceuticals Ltd40 Shahid Tajuddin Ahmed Sarani, Tejgaon I/A, Dhaka-1208E-mail:incepta@inceptapharma.com",Mr. Abdul Muktadir,"8891528
8891688",Visit Website
80,"Incepta Pharmaceuticals Ltd (Vaccine Division)40 Shahid Tajuddin Ahmed Sarani, Tejgaon I/A, Dhaka-1208E-mail:incepta@inceptapharma.com",Ms. Hasneen Muktadir,8891749,Visit Website
81,"Indo-Bangla Pharmaceuticals Ltd.College Road, BarisalE-mail:indobanglapharma@yahoo.com",Mr. A.F.M Anowarul Huq,"0431-2174811
2174977",-
82,"Innova Pharmaceuticals LtdPlot # 24 (2nd floor), Main Road # 1, Section # 6/Ka, Mirpur, Dhaka-1216E-mail:diapharm@aitlbd.net",Mr. Mostafa Roushan Ali,"9004315
9014794",-
83,"Jayson Pharmaceuticals Ltd231 A & B Tejgaon I/A, Dhaka-1208E-mail:jpl@jaysonbd.com",Mr. Enam Mallik,"09639-777700
09639-777701",Visit Website
84,"Jalalabad Pharmaceutical (Pvt) LtdPlot# 49 (1st floor) Road # 7, Park Street, Baridhara, Gulshan-2, Dhaka-1213E-mail:-",Mr. Masud Malik,"8128434
9006226
8810362",-
85,"Jams PharmaceuticalsJams Tower, Section-7, Mirpur, Dhaka-1216E-mail:jams@bdcom.com",Mr. AKM Golam Mustafa,"8019270
9007460",-
86,"JMI Syringes & Medical Devices LtdUnique Heights (Level: 5,6,7,8 & 11), 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka-1217E-mail:razzaq@jmigroup-bd.com",Mr. Md. Abdur Razzaq,55138723-24,Visit Website
87,"JMI Industrial Gas LtdUnique Heights (Level: 5,6,7,8 & 11), 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka-1217E-mail:razzaq@jmigroup-bd.com",Mr. Md. Abdur Razzaq,55138723-24,Visit Website
88,"JMI Hospital Requisite Manufacturing LtdUnique Heights (Level: 5,6,7,8 & 11), 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka-1217E-mail:razzaq@jmigroup-bd.com",Mr. Md. Abdur Razzaq,55138723-24,Visit Website
89,"Jenphar Bangladesh Ltd.SKS Tower (Level-8), 7 VIP Road, Mohakhali, Dhaka-1206E-mail:matiur.rahman@jenphar.com,regulatory.affairs@jenphar.com",Maj. Gen Mohammad Matiur Rahman (Retd),-,Visit Website
90,"Kumudini Pharma Ltd.86 Sirajuddowla Road, NarayanganjE-mail:kumudinipharma@gmail.com",Mr. Alik Krishna Roy,"9849637
9842778",Visit Website
91,"Kemiko Pharmaceuticals Ltd338 Segunbagicha, Dhaka-1000E-mail:fazcll@yahoo.com,export@kemikopharma.com,corporate@kemikopharma.com",Mr. Md. Fazlul Hoque,48313561,-
92,"Libra Infusions Ltd1/7 Mirpur I/E, Sec-2, Rupnagar, Dhaka-1216E-mail:libra@libragroupbd.com",Dr. Roushon Alam,"48040254-55
48032812-3",Visit Website
93,"Labaid Pharmaceuticals LimitedLabaid Iconic (2nd Floor), House # 66, Kalabagan, Dhanmondi, Dhaka-1205E-mail:info@labaidpharma.com",Dr. A M Shamim,"222299910
01321-111000",Visit Website
94,"Leon Pharmaceuticals Ltd.House # 13, Road # 02, Sector-04, Uttara, Dhaka-1230E-mail:leonpharma.hrd@gmail.com,info@leonbd.com",Mr. Afzalur Rahman Khan,"01847-051045
58953875",-
95,"Medimet Pharmaceuticals Ltd13(77) Bijoynagar, Segunbagicha, Dhaka-1000E-mail:tarique_ul_islam@yaghoo.com",Mr. Kh. Tarique-ul-Islam,8316745,-
96,"Medicon Pharmaceuticals Ltd44 Purana Paltan, Dhaka-1000E-mail:medicon@medicon-bd.com",Mr. Naquib Huda,"9554901
9566580",Visit Website
97,"Mystic Pharmaceuticals LtdHouse # 433, Lane-7, DOHS, Baridhara, Dhaka-1206E-mail:masud@trmmanagement.com",Mr. Md. Sharif Islam Chowdhury,"9125145
9126530
9024110",-
98,"Millat Pharmaceuticals Ltd65-66 Postagola I/A, Dhaka-1204E-mail:awmillat@bangla.net",Mr. Mehfuz Zaman,"8857304
8861432",-
99,"Modern Pharmaceuticals LtdModern Phara, JhenaidahE-mail:modernpl@bttb.net.bd",Mr. Bakul Bashar,"0451-62801
7160459-dk",-
100,"MAKS Drug LimitedGulfesha Plaza (Level-13), 8 Shahid Sangbadik Selina Parveen Sarak, Moghbazar, Dhaka-1217E-mail:info@mdl.com.bd,shibly7@mdl.com.bd",Mr. Md. Abdul Hakim,01332-829500,-
101,"Marksman Pharmaceuticals Ltd.Plot # 06, Road # 113/A, Gulshan, Dhaka-1212E-mail:marksman_pharma@yahoo.com,macromax19@gmail.com",Mr. Mohammad Arif Uddin,9860172,-
102,"Monico Pharma Limited8/1 Gaus Nagar (1st floor), New Eskaton, Mogbazar, Dhaka-1000E-mail:monicopharma2022@gmail.com,dr.hmrezwan@gmail.com",Dr. Md. Rezwan Hossain,"2222227976
01723-758540",-
103,"MST Pharma & Healthcare Ltd.20 Dhanmondi RA, Road # 5, Dhaka-1205E-mail:mstpharma@mstgroup24.com",Mr. S M Taslim Hassan,"9667430
8652473",-
104,"Momtaz Pharmaceuticals Ltd.1/2 Canditola, Boro Deora, Tongi, GazipurE-mail:momtazpharma@yahoo.com",Mr. Shahidul Islam,57391150,-
105,"Minara API LimitedHouse # 157, Lane-3 (Eastern Road), New DOHS, Mohakhali, Dhaka-1206E-mail:aunik@bdcom.com",Mr. S M Arafat Zahid Ibne Shafi,"9896175
58815372-73",-
106,"NIPRO JMI Pharma Ltd.Unique Heights (Level: 5,6,7,8 & 11), 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka-1217E-mail:razzaq@jmigroup-bd.com",Mr. Md. Abdur Razzaq,55138723-24,Visit Website
107,"NIPRO JMI Co Ltd.Unique Heights (Level: 5,6,7,8 & 11), 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka-1217E-mail:razzaq@jmigroup-bd.com",Mr. Md. Abdur Razzaq,55138723-24,Visit Website
108,"Nipa Pharmaceuticals Ltd10/16 Iqbal Rd. Block-A, Mohammadpur, Dhaka-1207E-mail:nipapharma@outlook.com",Mr. Mohammed M. Islam,8121504,-
109,"Navana Pharmaceuticals PLCHouse # 99, Road # 4, Block-B, Banani, Dhaka-1213E-mail:jonaid@navanapharma.com,admin@navanapharma.com",Mr. Shamim Rabbani,55033580-3,Visit Website
110,"Nevian Lifescience PLCTower One One Seven (Level-5), Plot # 117/A Tejgaon I/A, Dhaka-1208E-mail:info@nevian.com.bd,musawath.zahedee@nevian.com.bd",Mr. Musawath Shams Zahedee,9606300300,Visit Website
111,"National Laboratories Ltd50/2 Atis Dipanker Sarak, Sabujbagh, Dhaka-1214E-mail:national-lab@agnionline.com",Mr. Hafizur Rahman,"7204956
7200538",-
112,"NIP Chemicals & Pharmaceuticals LtdLal Bhaban (1st floor), 18 Rajuk Avenue, Dhaka-1000E-mail:sonali@bol-online.com,info@sonaliaansh.com",Mr. M Mahbubur Rahman Patwari,9556251,-
113,"Novo Healthcare & Pharma Ltd.Plot # 2, Road # 11, Block-C, Section-6, Mirpur, Dhaka-1216E-mail:info@nhpl.com.bd",Mr. M Farid Uddin Kawsar Khan,9038701-3,-
114,"Nuvista Pharma PLCMirpur DOHS Cultural Centre (6th floor), Road # 09, Mirpur DOHS, Pallabi, Dhaka-1216E-mail:anz@bpl.net,mamun@beximco.net",Mr. Mohammad Ali Nawaz,"+880-2-58611001-7
9609100400
44806691",Visit Website
115,"Novelta Bestway Pharmaceuticals Ltd.Priyo Prangon Tower (7th Floor), Suite # 7/14, 19 Kamal Ataturk Avenue, Banani, Dhaka-1213E-mail:ceo_bestway@yahoo.com",Mr. Md. Mizanur Rahman,"9821803
9821407
9821467",-
116,"NAAFCO Pharma PLCNavana FS Cosmo Tower, Level-09, Plot-4B, Road-94, Gulshan-2, Dhaka-1212E-mail:info@naafco.com",Mr. Md. Saiful Huda,"9641216-18
9641220-21",-
117,"Novatek Pharmaceuticals Ltd.House # 3/A, Road # 28 (Old), 15 (New), Dhanmondi R/A, Dhaka-1209E-mail:mostafiz@organic.com.bd,info@organic.com.bd",Mr. Md. Mostafizur Rahman,"7301828
7301426",-
118,"Opsonin Pharma LtdOpsonin Bhaban, 30 New Eskaton Road, Dhaka-1000E-mail:ark@opsonin.net",Mr. Abdur Rouf Khan,"9332262
9356451
9356533",-
119,"Opso Saline Ltd37 Segunbagicha, Dhaka-1000E-mail:gcl@bol-online.com",Mr. Abdur Rakib Khan,"9337111
9330191",-
120,"Orion Pharma LimitedOrion House, 153-154 Tejgaon IA, Dhaka-1208E-mail:zareen.karim@orion-group.net",Ms Zareen Karim,8870133,Visit Website
121,"Orion Infusion LimitedOrion House, 153-154 Tejgaon IA, Dhaka-1208E-mail:zareen.karim@orion-group.net,monirul.islam@orion-group.net",Ms Zareen Karim,8870133,Visit Website
122,"Oasis Laboratories (Pvt) LimitedAfzal Khan Road, Amlapaa SirajgonjE-mail:oasislabltd07@gmail.com",Mr. S Z Helal,7912306,Visit Website
123,"One Pharma LimitedCGDL Sonargaon Tower 8, 9 & 10/3 Free School Street, Kathalbagan, Dhaka-1205E-mail:group.md@onepharma.com",Mr. KSM Mostafizur Rahman,9660530,Visit Website
124,"Peoples Pharma Ltd20/21 Peacy Garden, Garden Road, West Kawranbazar, Dhaka-1215E-mail:ppl_dhkbd@yahoo.com",Mr. M M Rahman Khan,"8113090
8125933",-
125,"Pacific Pharmaceuticals Ltd5 Wyre Street, Wari, Dhaka-1203E-mail:info@pacificpharma-bd.com,bimalc@pacificpharma-bd.com",Mr. Banibrata Chakraborty,7174607-10,Visit Website
126,"Pharmadesh Laboratories Ltd334 Segunbagicha, Dhaka-1000E-mail:pdesh@intechworld.com",Mr. Azizur Rahman,"9330048-9
9331765",-
127,"Pharmatek Chemicals Ltd19 Dhanmondi RA, Road # 7, Dhaka-1205E-mail:afs@bpl.net",Mr. Afsar Uddin Ahmed,58611001-7,Visit Website
128,"Prime Pharmaceuticals LtdCity Heart Building (8th floor), 67 Nayapaltan, Dhaka-1000E-mail:primepharma_dhaka@yahoo.com",Mr. Md. Abdul Halim Howlader,9891499,-
129,"Premier Pharmaceuticals LtdHospital Road, Maijdee, NoakhaliE-mail:premier_3800@yahoo.com",Dr. Mahbubur Rahman,"0321-61339
9359501-Dk
01715-211589",-
130,"Pharmik Laboratories Limited10/A, Mohora CDA I/A, Chandgaon, ChattogramE-mail:pharmiklaboratoriesltd1974@yahoo.com",Alhajj Dr. Ahmed Robin Ispahani,"2334453032
0197-7427645",Visit Website
131,"Popular Pharmaceuticals LtdSheltech Panthokunjo, 17 Sukrabad, West Panthapath, Dhaka-1207E-mail:mostafiz@popularbd.com",Dr. Mostafizur Rahman,9101731-2,Visit Website
132,"Pharmasia LimitedRANGS Tower (Level: 5 & 6), 335/B Tejgaon I/A, Dhaka-1208E-mail:info@pharmasia.com.bd,tapan.ceo@pharmasia.com.bd",Mr. Tapan Kumar Roy,"8891061-2
01313-207080",Visit Website
133,"Phoenix Chemical Laboratory (BD) Ltd.House # 11, Road # 46, Gulshan Circle-2, Dhaka-1212E-mail:-",Mr. Md. Shafiqul Islam,"9841308
01711-456558",-
134,"Quality Pharmaceuticals (Pvt.) Ltd8/3 Segunbagicha (Ground Floor), Dhaka-1000E-mail:info@qpl.com.bd",Mr. Md. Abdus Sattar,9553209,-
135,"Renata PLCPlot # 1, Milk Vita Road, Section-7, Mirpur, Dhaka-1216E-mail:renata@renata-ltd.com",Mr. Syed S Kaiser Kabir,"8001445
8001450-4",Visit Website
