Company Name,Membership Number,Member Status,Contact Person,Company Address,Factory Address,Phone,Fax,Email,Website,Products,Detail URL
Prompt Packaging Ltd.,675,Active,"Zakir Hossain Kabiraz, Managing Director","House # 28, 2nd Floor, Road # 9, Sector-9, Uttara, Dhaka-1230.","Shi-166, Itahata, Chandana, Gazipur-1702",9261464,9263210,mail@prompt-bd.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper",https://www.bgapmea.org/index.php/member/member_details/590
Shimulia Fashion Wears,868,Active,"Khan Nazrul Islam Hannan, Proprietor","Red Crescent Bhaban (level-8), 61, Motijheel C/A, Dhaka.","Digi Barabo, Jatramura, Rupgonj, Narayanganj","9553666, 01711549013",9570699,shimulia.bd@gmail.com,,"Elastic/Non Elastic Band, Lace, Polyester Twill Tape, Cotton Twill Tape, Drawstring.",https://www.bgapmea.org/index.php/member/member_details/718
Expo Link Industry Ltd.,1831,Active,"A. Z. M. Kamrul Hamid, Chairman","Plot # 30, Sector # 04, Uttara EPZ, Shangalshi, Nilphamari","Plot # 30, Sector # 04, Uttara EPZ, Shangalshi, Nilphamari",01776654727,,expolink17@gmail.com,,"Label paper/Paper label, Self Adhesive paper, BOPP, Gum tape, packaging tape, Double side tape, paper board, Back Board, Photo in lay, Hang Tag, Price Tag, Tissue Paper, Glassing Paper, Care Label, Bar Code, Zipper, Elastic, Sewing Thread & Sewing Cone",https://www.bgapmea.org/index.php/member/member_details/1512
Forehand Enterprise Co. Ltd.,489,Active,"Guan Jia Jun, Managing Director","18926-18930 & 18895, Khilla Para, Bhatiary Link Road, Hathhazari, Chattogram","18926-18930 & 18895, Khilla Para, Bhatiary Link Road, Hathhazari, Chattogram",018-320038,,jiajun_guan@21cn.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/243
Brota Packages Ltd.,152,Active,"Broza Gopal Das, Managing Director.","Al-Islam Chamber, 2nd Floor, 91, Agrabad Commercial Area, Chattogram","10, Yakub Nagar Feringee Bazar, Kotowali, Chattogram","880-2-712183, 653401, 01818715572, 01812425150",,borotapackages@gmail.com,,Corrugated Carton,https://www.bgapmea.org/index.php/member/member_details/119
Sarker Trims Limited,1511,Active,"Nitya Gopal Sarker, Managing Director","H # 9, Road #12, Sector #11, Uttara, Dhaka-1230","Vill. & Post: Dakshin Jamsha, PS.: Singair, Dist: Manikgonj",01619227303,01819227303,gopal8824@gmail.com,www.sarkertrims.com,"Plain Elastic, Jacquard Elastic, Twill Tape, Drawstring, Hang Tag, Size Tag, Price Tag, Photo In lay, Paper Bandon, Photo Inle/Photo card, back Board, Neck Board, Hang Tag, Size Taz, Price Tag, Paper Bank etc",https://www.bgapmea.org/index.php/member/member_details/1146
Model Pack Accessories Ltd.,2082,Active,"Tapan Kanti Saha, Managing Director","West Mukterpur, Panchasar, Munshigonj","West Mukterpur, Panchasar, Munshigonj",01711656384,,modelpackaccessories@gmail.com,,"Backboard, Photo-inlay, Barcode, Size Tag, Price Tag, Hang Tag, Paper Band, Collar Band, Flep type Poly Bag & Tape, Top Plastic Hanger, Barcode, Poly Bags, Plastic Zipper, Twill Tape, Ribon, Drawstring, Elastic, Labels, Sewing Thread, Carton etc.",https://www.bgapmea.org/index.php/member/member_details/1701
Harnest Label Industries Ltd.,1850,Active,"M A Haider Hussain, Managing Director","17, Bir Uttam K. M Shafiullah Road (Green Road), Dhaka-1205.","Plot No. 12, Block-A, Squibb, Road, Charag Ali, Tongi I/A, Gazipur.","9801523, 9814000, 01746554413",,info@harnest.com,www.harnest.com,"Woven Label, Flexo Printing, Narrow Fabrics, Poly Printing, Offset Printing.",https://www.bgapmea.org/index.php/member/member_details/1525
Kitway Pack (Pvt.) Ltd.,119,Active,"Md. Abul Kalam, Managing Director","House # 14, Lake Drive Road, Sector # 07, Uttara, Dhaka-1230","Chottoshilmondi, Tripardi, Sonargaon, Narayanganj",8923670 Cell: 01713006480,8913701,"hasanuzzaman@chaity.com, info@chaity.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Collar Insert, Hang Tag, Price Tag, Collar Stand etc.",https://www.bgapmea.org/index.php/member/member_details/374
Meiao Bulk Bag Ltd.,1674,Active,"Mr. MA Xiaoming , Managing Director","Barpa, Rupgonj, Garments Building-01, Narayanganj","Barpa, Rupgonj, Garments Building-01, Narayanganj",01716347747,,"laizhoutongyong@126.com, meiaopack.bipul@gmail.com",,PP Oven Packing Bag,https://www.bgapmea.org/index.php/member/member_details/1303
Overseas Packaging & Accessories Ltd.,1506,Active,"MR. Iqbal Mahmud Sujon , Director","House#15, Road #1, Block#D, Rajabari, Nishatnagor, PS : Turag, Dhaka.","House#15, Road #1, Block#D, Rajabari, Nishatnagor, PS : Turag, Dhaka.",01712 197312,,shakil@overseascollectionbd.com,,Packaging,https://www.bgapmea.org/index.php/member/member_details/1141
The Delta Accessories Ltd.,759,Active,"Engr. A. K. M. Faruque Ahmed, Chairman","Plot # 389, Lane # 6, DOHS Baridhara, Dhaka-1206","Zarun (South), Kashimpur, Gazipur","8813636, 8824092, 9891344",8813637,salam@tdsml.net,,"Printed Poly Bag, Twill Tape, Elastic, Rubber Print, Elastic.",https://www.bgapmea.org/index.php/member/member_details/792
Badsha Industries Ltd.,1906,Active,"Md. Saiful Islam (Sabuj), Managing Director","C-18/34, Molla Tower (1st floor), Chayabithi, Savar, Dhaka","BRS Dag No. 5192, Dosaied A.K. School & College Road, Ashulia, Savar, Dhaka",01969111000,,sabuz65@yahoo.com,,"Label, Screen Print, Elastic, Twill Tape, Leather Patch, Rubber Patch etc.",https://www.bgapmea.org/index.php/member/member_details/1549
FUR Ecotex Limited,2075,Active,"Ishtiaque Ahmed Patwary, Managing Director","62-63, Amin Court Bhaban (7th floor), Suite-701(A), Motijheel C/A, Dhaka-1000","Fazelpur, Enayetnagar, Fatullah, Narayanganj",01711542844,,ishtiaque@knitplusltd.com,,"Plastic Hanger, Plastic Resin, Padding, Quilting, Geotextile Bag, Fake down, RPSF",https://www.bgapmea.org/index.php/member/member_details/1696
Unique Trims And Solutions,2024,Active,"Md. Masudur Rahman, Proprietor","South Barotopa, Near Madborbari Road, Mawna, Sreepur, Gazipur","South Barotopa, Near Madborbari Road, Mawna, Sreepur, Gazipur",01711549510,,"masud@uniquetrimsandsolutions.com, masud.unique@gmail.com",,"Hang Tag, Sticker, Printed Label, Box, Cascade, Band Roll/Shirt Band",https://www.bgapmea.org/index.php/member/member_details/1653
Eurograf BD. Ltd.,1715,Active,"Mr. Mohammad Ibrahim, Managing Director","26/1, Jahanabad, Darussalam, Mirpur, Dhaka-1216","26/1, Jahanabad, Darussalam, Mirpur, Dhaka-1216",01949997771,,ibrahim@eurografbd.com,,"Garments Tape, Sticker, Poly Bag, Printed Label, Sewing Thread, Screen Print",https://www.bgapmea.org/index.php/member/member_details/1350
Bangladesh IRIS Company Limited,1596,Active,"Yasushi Mizumachi , Managing Director","Ka-52/1, Kuril Bishaw Road, Vatara, Dhaka1229","Megdubi Bypass Road, Block-A, Holding #55/A, word # 40, Jaydevpur-1710, Gazipur City Corporation.",01713015474,,"apu@bdiris.com.bd, nakibs@hotmail.com, mizumachi@bdiris.com.bd",,"Main Label, Size label, Care label, Hang tag, Look Pin, Twill Tape, All kingd of garments accessories.",https://www.bgapmea.org/index.php/member/member_details/1226
PNR Industries Ltd.,804,Active,"Akkas Uddin Mollah, Managing Director","Osman House, House # 39, Road # 03, Sector # 3, Uttara, Dhaka-1230","Kathali, Bhaluka, Mymensingh","8921512, 7912172-5, Cell: 01711868656",8921582,shahancolours@gmail.com,www.osmangroupbd.com,Exelic Yarn Dyeing & Zipper,https://www.bgapmea.org/index.php/member/member_details/705
Bismillah Elastic & Accessories Co. Ltd.,1059,Active,"Mr. Md. Shamsul Alam, Managing Director","KA-51/4, Khan Monzil, Nadda, Baridhara Gulshan, Dhaka-1212","House # 56, Road # 02, Kamarpara, Bamnertak, Turag, Uttara, Dhaka-1230",01715-811594,,bismillah.accessories@gmail.com,,"Elastic, Cotton Tape, Belt & Tube, Sewing Threa",https://www.bgapmea.org/index.php/member/member_details/106
RTT Knit Industries Ltd.,2044,Active,"Md. Rezaul Karim Ranju, Chairman","Camelia (4th floor), Plot-51, Road-6/A, Sector-12, Uttara, Dhaka-1230","125/5, Shing Bari Road, Kakil Sataish, Tongi, Gazipur",01711260163,,reazul.ronju2015@gmail.com,,Paper Kone & Knit Carton,https://www.bgapmea.org/index.php/member/member_details/1668
Vision Carton & Accessories Ind. Ltd.,1628,Active,"Tariqul Islam Murad , Managing Director","160/2, South Salna, Salna Bazar, Joydebpur, Gazipur","160/2, South Salna, Salna Bazar, Joydebpur, Gazipur",01918-182182,58954789,vision_carton14@yahoo.com,www.vcl-bd.com,"Carton, Gum Tape, Lab,el Paper/Adhasive Paper, Poly Bag, Printed Poly Bag, Offset Print, EPS etc.",https://www.bgapmea.org/index.php/member/member_details/1285
Kishan Accessories Ltd.,1639,Active,"Li Wen Biao , Director","House #17, Road#02, Sector-09, Uttara, Dhaka","610, Diakhal (1st floo), Zirabo Ashulia, Savar, Dhaka",01917365093,,liwenbiao@lindabd.com,,"Hook & Eye, Ring, Slider, Foam Cup, Cup Wire",https://www.bgapmea.org/index.php/member/member_details/1267
Intimates Elastic Industries Ltd.,812,Active,"Gauhar Siraj Jamil, Managing Director","778, D. T. Road, Ashkarabad Doublemooring, Chattogram.","Khowaz Nagar, Azimpara, Karnafulli, Chattogram.","031-2854911-12, 2520062, 2511452-3",031-2520072,jamil@fourhgroup.com,,Elastic/Non-Elastic Band.,https://www.bgapmea.org/index.php/member/member_details/316
Quality Lace Industries (Pvt) Ltd.,845,Active,"Md. Tariqul Alam, Managing Director","79/1, Mayakanan (Gr. Fl.), VIP Road Kakrail, Dhaka","496, Paity Main Road, (WASA Road), Demra, Dhaka","9335397, Cell : 01711670702",8357286,"info@qualitylaceind.com, tareque1970@gmail.com",,Elastic/Non Elastic Band.,https://www.bgapmea.org/index.php/member/member_details/598
Sardar Trims Ltd.,1905,Active,"Md. Mahabubur Rahman, Chairman","Plot # 428-429, Village: Nimerteck, P.O.: Rajfulbaria, PS: Savar, Dhaka","Plot # 428-429, Village: Nimerteck, P.O.: Rajfulbaria, PS: Savar, Dhaka",01714342976,,"sardarelc@gmail.com, info.sardarelc33@gmail.com",,"Offset Paper Hangtag, Satin Care Label, Paper Care Label, Sticker, Drawstring, Twill Tape, Sewing Thread, Cotton Label, Elastic, Pocketing Fabric",https://www.bgapmea.org/index.php/member/member_details/1546
Eboto Packaging Ltd.,650,Active,"Md. Nurul Haque Miah, Managing Director","Holding # 02, Kamargaon, Pubail, Gazipur-1710","Holding # 02, Kamargaon, Pubail, Gazipur-1710","8912316, 01729098851, 01722102452",8956774,"info@basicshirts.net, basic.shirts@gmail.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/193
Modern Link Industries Ltd.,1025,Active,"Mr. Salim Mia, Managing Director","177, Mahatab Center, Bijoy Nagar, Dhaka.","12, K.M. Das Lane, Wari, Tikatuli, Dhaka",01916783534,,mdsalim67234@gmail.com,,Corrugated Master Carton,https://www.bgapmea.org/index.php/member/member_details/448
Trust-Accessories & Packaging Ltd.,913,Active,"Md. Miner Milu, Director","29/1, Khajedewan Road, Dhaka","Plot # A-35, Dhaka Shilpo Nogori (BSCIC), Ruhitpur, Keraniganj Model, Dhaka-1310",01771222058,,minermilu@gmail.com,,"PP/PE Poly Bag, Elastic Band, Twill Tape, Gum Tape etc.",https://www.bgapmea.org/index.php/member/member_details/810
Chemicon,1883,Active,"Md. Yeamin, Proprietor","House # 05, Road # 18, Sector # 10, Uttara, Dhaka-1230.","Nayapara, Bhabanipur, Gazipur Sadar, Gazipur","8981800, 01711544636",,myeamin@yahoo.com,www.chemicongroup.com,Textile Chemical Formulation & Water Treatment,https://www.bgapmea.org/index.php/member/member_details/1519
Texas Packaging & Accessories Industries Ltd.,1599,Active,"Mohammed Jamil Uddin, Managing Director","North Kazipara, Taltola Bazar, Mahazampur, Sonargaon, Narayangonj-1440","North Kazipara, Taltola Bazar, Mahazampur, Sonargaon, Narayangonj-1440",01713001931,,"info@texaspna.com, jaser@texaspna.com",www.texaspna.com,"PVC/EVA Poly Bag, PP/PE Poly Bag, Hangers, Labels, Collar Stand & Butterfly, Interlining, Box, Insert, Photo Inlay Card, Back & Neck Board, Sticker, Twill Tape, Drawstring, Sewing Thread, Zipper, Gum Tape, Metal Eyelet and Trim Solution.",https://www.bgapmea.org/index.php/member/member_details/1229
Noor Aowsaf (Pvt) Ltd.,833,Active,"Mohammad Nurul Alam, Managing Director","121/A, Sagorika Road, Fauzderhat I/E Customs Academy, Pahartali, Chittagong","121/A, Sagorika Road, Fauzderhat I/E Customs Academy, Pahartali, Chattogram",031-750682,,nooraowsaf@yahoo.com,,Sewing Thread.,https://www.bgapmea.org/index.php/member/member_details/502
Jinsheng Garments Accessories Co. Ltd.,1315,Active,"Cindy Li (Liqin) , Managing Director","House # 526, Road #10, DOHS, Baridhara, Dhaka","188, Birds Garments Road, Baipail, Ashulia, Savar, Dhaka-1206",01787751364,,dhaka@jin-long-accessessories.com,"jin-long-accessories.com, sale-dhaka2@jin-zhi-sen-accessories.com","PP Bag & Printing, Hang tag, Sticker, Labels, ABS card, pvc",https://www.bgapmea.org/index.php/member/member_details/950
BD Metalic Yarns (Pvt) Ltd.,1775,Active,"Mr. Md. Afzal Uddin, Managing Director","House # 4, Road # 4, Block # B, Section-12, Mirpur, Dhaka-1216","Notunpara, Hemayetpur, Savar, Dhaka",01681465806,,"addtoafzal@gmail.com,",,Metalic Yarn,https://www.bgapmea.org/index.php/member/member_details/1419
M. Y. & Union (BD) Limited,1588,Active,"Mohammed Yaseen Abdul Gani , Managing Director","Plot # 152-153, DEPZ Ext. Ganakbari, Ashulia, Savar, Dhaka-1249","Plot # 152-153, DEPZ Ext. Ganakbari, Ashulia, Savar, Dhaka-1249","+8801777-774461, Cell: +8801894-960771",,"yaseen@union-myco.com, karim@akk-union.com",www.union-myco.com,All types of Metal & Polyester Accessories.,https://www.bgapmea.org/index.php/member/member_details/1218
Terratex Ltd.,1306,Active,"Masrur Ahmed , Managing Director","House # 25/B (1st floor), Road # 18, Block- B, Banani, Dhaka","66, Telir Chala, Mouchak, Kaliakoir, Gazipur","55035276, 01716260331",9332929,"info.terratex@gmail.com, info@terratexbd.com",www.terratexbd.com,Elastic,https://www.bgapmea.org/index.php/member/member_details/942
Poly Bag Manufacturing Co. Ltd.,357,Active,"Mustahidur Rahman, Managing Director","House # 6, Road # 4, Block-F, Banani, Dhaka","Plot-1135, Naojury, Bashan, Joydevpur, Gazipur.","988289, 9884484, 01711537181",,acis@acisbd.com,,"Printed Poly Bag, Metal Button, M Zipper, Woven Belt/Jacquard Elastics, Sewing Thread",https://www.bgapmea.org/index.php/member/member_details/566
Winner Packages & Accessories Ltd.,138,Active,"Mr. K. M. Shafayet, Managing Director","Section-6, Block-Kha, Plot-16, Road-1, West Senpara Parbata, Mirpur, Dhaka","Tenguri, BKSP, Savar, Dhaka","9010218, 01711526353",9010449,winn_pack@yahoo.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Collar Insert, Hang Tag, Price Tag, Collar Stand etc.",https://www.bgapmea.org/index.php/member/member_details/851
Sadman Printing & Packaging Industries Ltd.,1065,Active,"Mr. Khairul Islam, Chairman & Managing Director","House # 10, Road # 13/C, Sector # 6, Uttara, Dhaka","Gazirchat, Jamgara, Ashulia, Savar, Dhaka-1349","01911342394, 01721833051",,sadmanpack@yahoo.com,,"Corrugated Carton, Neck Board, Back Board.",https://www.bgapmea.org/index.php/member/member_details/673
Yaqub Futuristic Industries,2102,Active,"FM Touhidur Rahman, Proprietor","Latifpur, N. R. Steel Gate, Ward No. 09, Jaforabad, Akbershah P.S. Chattogram-4217","Latifpur, N. R. Steel Gate, Ward No. 09, Jaforabad, Akbershah P.S. Chattogram-4217",01719294980,,yakubfuturisticindustries2024@gmail.com,,"Plain Poly, Blister Poly, Hanger, Gum Tape, Adhesive Poly, Price Tag, Size Tag, Photo Card, Barcode Tag, Back Board, Neck Board, Joker Tag, Tissue Paper etc.",https://www.bgapmea.org/index.php/member/member_details/1726
Alimuzzoha Packaging & Printing,1816,Active,"Md. Alimuzzoha, Proprietor","2712/5593, Nodda Para, Hazz Camp Road, Dokkhinkhan, Dhaka-1230","2712/5593, Nodda Para, Hazz Camp Road, Dokkhinkhan, Dhaka-1230",01713004072,,"reza12876@gmail.com, arifcommercial774@gmail.com",,"Poly Bag (Printed & Non-printed), Blister Poly, Back Board, Neck Board, Photocard, Tang Tag, Price Tag etc.",https://www.bgapmea.org/index.php/member/member_details/1455
Primo Pack Ltd.,2052,Active,"Radh Mohannad Ahmed, Director","133, Jahanara Garden, Green Road, Dhaka-1205","Ward No. 05, Road/BlocK-B, Holding No. 345, Kewa East Section, Sreepur, Gazipur",01754449914,,zahadthakur@hotmail.com,,Cartoon,https://www.bgapmea.org/index.php/member/member_details/1674
Noriza Accessories Ltd.,562,Active,"Mohd Afsaruzzaman, Managing Director","263 (3rd floor), Road # 3, DOHS Baridhara, Dhaka","Buripara, Norshinghpur, Earpur, Ashulia, Dhaka","9002570, 84171181",,"belalnal@gmail.com, zaman01@norizabd.com",,"Corrugated Carton, BPrinted Poly Bag, BOPP Bag, Interlining.",https://www.bgapmea.org/index.php/member/member_details/503
Fraternity Packaging Industries Ltd.,985,Active,"Mrs. Saida Parveen, Managing Director","Flat # A-3, House # 13, Road # 09, Sector # 03, Uttara, Dhaka","Beraider Chala, Gila Beraid, Sreepur, Gazipur",8958962,8958973,info@fraternitybd.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/248
Finex Weaving Factory Ltd.,2051,Active,"Md. Malekuzzaman, Chairman","House-65/1, Block-B, Road-02, Dhorangertek, Turag, Dhaka","House-65/1, Block-B, Road-02, Dhorangertek, Turag, Dhaka",01711133948,,mjaman2010@yahoo.com,,"Plain Elastic, Woven Elastic, Drawstring, Twill Tape, Jacquard Elastic",https://www.bgapmea.org/index.php/member/member_details/1675
Appollo Packaging (BD) Ltd.,1054,Active,"Abdul Momin Mondol, Managing Director","Plot #79/A, Le Meridien Commercial Space, Level-05 (Block-2, 3 & 6), Airport Road, Nikunja-02, Khilkhet, Dhaka-1229","Plot # F/38, F/39, Block # F, Phase-2, Pallabi, Mirpur, Dhaka",41040176-84,,"commercial@mondol.net, info@mondol.net",www.mondol.net,Corrugated Carton,https://www.bgapmea.org/index.php/member/member_details/67
3A Accessories,2066,Active,"Mohammad Sekander Hossain, Managing Partner","BBC Steel Bhaban, South Shitalpur, Sitakunda, Chattogram","8 No. Ghatgor Road, Boro Kumira, Sitakunda, Chattogram",01730201489,,3aaccessories2023@gmail.com,,"Poly Bag, BOPP Bag, Back Board, Neck Board, Hang Tag, Gum Tape etc.",https://www.bgapmea.org/index.php/member/member_details/1688
Trade International,1039,Active,"Mr. Md. Salim, Managing Partner","42/A-1 (2nd Floor), Sohid Sayed Nazrul Islam Sarani (English Road Chowrasta), Dhaka-1100","214, Baghoir, South Keranigonj, Dhaka","9513748, 01711132506, 01711009604",,"zillurtrade@Yahoo.com, zillurtrade@gmail.com",,"Back Board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Price Tag, Tissue Paper, Collar Insert, Butter Fly.",https://www.bgapmea.org/index.php/member/member_details/803
D & B Smart Secure,1912,Active,"Md. Delwar Hossain, Managing Partner","12/A, Shojeeb Plaza (2nd floor), Block-G, PC Road, Halishshor, Chattogram","Moddom Sonaichhari, Sitalpur, Sitakunda, Chattogram",01711202632,,dbsmartsecurectg@gmail.com,,All kind of printing & packaging.,https://www.bgapmea.org/index.php/member/member_details/1561
Dada Zipper Ltd.,782,Active,"Mr. S. M. Abdul Wadud, Managing Director","Jamuna Future Park Level-6 (West), Ka-244, Kuril, Baridhara, Dhaka","Plot # 262-263, Abder, Telihati, Joina bazar, Sreepur, Gazipur.","8411854, 8417921-2, 01711564992",8413779,info@dadagroup-bd.com,dadagroup-bd.com,Metal Zipper.,https://www.bgapmea.org/index.php/member/member_details/158
Fame Accessories Inds. Ltd.,713,Active,"Md. Anisur Rahman, Managing Director","Nafis Tower, Block-B, Road # o6, Lane # 02, Plot # 04, Halishahor Housing Estate, Chattogram.","Nafis Tower, Block-B, Road # o6, Lane # 02, Plot # 04, Halishahor Housing Estate, Chattogram.","031-723456, Cell: 01819320750, 01781887722",723456,famebd@gmail.com,,"Sewing Thread, Elastic-Non-Elastic Band, Twill Tape, Drawstring/Draw Cord.",https://www.bgapmea.org/index.php/member/member_details/232
Knight Traders,829,Active,"Mr. Hazi Md. Shamsul Hoq, Proprietor","45/9, Baishteki, Section # 13, Mirpur, Dhaka","45/9, Baishteki, Section # 13, Mirpur, Dhaka","9015742, 8057053",,knighttradersbd@gmail.com,,Printed Poly Bag.,https://www.bgapmea.org/index.php/member/member_details/376
Elegant Accessories Ltd.,1554,Active,"Mrs. Ruba Ahmed , Chairman","AJ Heights Cha-72/1/D, Progoti Sarani, Uttar Badda, Dhaka-1212","Bokran, Monipur, Vobanipur, Mirzapur, Gazipur","02 58816599, 0258814750",029842417,,www.elegant.com.bd,"Carton, Poly Bag, Black Board, Neck Board, Zipper, Hanger, Sweing Thread, Button",https://www.bgapmea.org/index.php/member/member_details/1185
Badsha Accessories Ltd.,1932,Active,"Kamal Uddin Ahmed, Director","Holland Center (8th floor), Cha-72/1-B, Progoti Sharoni, Middle Badda, Dhaka-1212","Jamirdia, Habirbari, Valuka, Mymensingh","02 48810871-78, 01844083392",,"info@badshatex.com, accounts.ho@pkbdl.com",www.pkbdl.com,"Master Carton, Drawstring, Elastic, Drawcord, Twill Tape, Gum Tape, Label, Rubber Patch, Silicon Patch, Poly Bag, Photo Card, Butterfly, Hang Tag, Back Board, Neck Board, Coller Insert, Coller Bone, PVC Box, Price Tag, Size Tag etc.",https://www.bgapmea.org/index.php/member/member_details/1569
Fusion Accessories (BD) Ltd.,1387,Active,"Md. Hossain Al-Osman , Managing Director","Hazi Younus Market (1st fl), 189/203 CDA Avenue, Muradpur, Chattogram-4212","619/A, Khandakia Haat, Kulgaon, Jalalabad, Baizid Bostami, Chattogram-4214","031-2550182, 01711831397",031-655388,hnhfpnpcil@gmail.com,,"Inner Paper, Back Board nack Board, Poly Bag etc.",https://www.bgapmea.org/index.php/member/member_details/1027
Sonargaon Packaging,1408,Active,"Mr. Farhad Hussain , Proprietor","34, Azimpur Road, Lalbagh, Dhaka -1205 Pho:9660638, 258614989","Plot # B-65, BSCIC Shilpa Nagari Keranigonj, Dhaka-1230","01711-528952, 01711282824",,jupiter.dulal.bd@gmail.com,,Garments Accessories,https://www.bgapmea.org/index.php/member/member_details/1049
Saifan Packaging & Accessories Industry,1826,Active,"Mohammed Soliman, Managing Partner","12893/95, Bus Terminal Road, Bahassarhat, Chandgaon, Chattogram","Plot No. 12893/95, Bus Terminal Road, Bahassarhat, Chandgaon, Chattogram",01904010101,,saifanpackaging@gmail.com,,"Printed Poly Bag, Back Board, Neck Board, Hangtag, Price Tag, Size Tag, Price Sticker, Barcode Sticker, Size Tag, Tissue Paper, Hanger etc.",https://www.bgapmea.org/index.php/member/member_details/1461
