Company Name,Membership Number,Member Status,Contact Person,Company Address,Factory Address,Phone,Fax,Email,Website,Products,Detail URL
Clifton Paper Mills Ltd.,835,Active,"Mr. Md. M. Mohiuddin Chowdhury, Managing Director","4, Jublee Road, Jiban Bima Bhaban, Chattogram","CDA Plot # D-28, D/1, D/2, Char Rangamatia, Kalurghat I/A, Chandgaon, Chattogram","031-615479, 01819311224",031-630764,"info@cliftongroupbd.com, mohiuddin@cliftongroup.com",,"Corrugated Carton, Back Board, Neck Board.",https://www.bgapmea.org/index.php/member/member_details/139
Deen Paper Converting & Packaging Ltd.,20,Active,"Mr. Goni Ahmed, Managing Director","House # C.E.F (F), 11-B (2nd Floor) Road # 130, Gulshan-1, Dhaka-1212","Painadi, mizmizi, Siddirgonj, Narayangonj","9856051, 9841319",9850303,info@deengroupbd.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Price Tag, All kinds of sticker.",https://www.bgapmea.org/index.php/member/member_details/161
Ahmed House Hold Products (PVT) Ltd.,890,Active,"Md. Saydul Hasan Sarker, Managing Director","Plot# 1/6, Road37, Section# 7, Mirpur industrial Area, Dhaka","Plot# 1/6, Road# 7, Section# 7, Mirpur industrial Area, Dhaka","9004671, 01711520978",8015011,sarker000@yahoo.com,,All types of Label making & printing,https://www.bgapmea.org/index.php/member/member_details/34
Agami Accessories Ltd.,1083,Active,"M. Shahadat Hossain Kiron, Chairman","Shimanto Shambhar (8th floor), Road # 02, Dhanmondi, Dhaka-1205","Singair Road, Hemayetpur, Savar, Dhaka.",09666774400,,"dal@dalbd.com, info@dalbd.com",www.dekkolrgacy.com,"Label, Poly Bag, PP Band, Carton, Hanger, Poly Hooks, Stopper, Metal Buttons",https://www.bgapmea.org/index.php/member/member_details/31
Dimension Packaging Ltd.,1340,Active,"Md. Omar Faruq, Managing Director","House No. 02, Road No. 17, Sector # 07, Uttara, Dhaka-1230","1620, Sutrapur, Kaliakoir, Gazipur","01711533993, 01973537466",,"dpl_2014@yahoo.com, customerservice@dimension-bd.com, faruk@dimension-bd.com",,Corrugated Carton,https://www.bgapmea.org/index.php/member/member_details/975
Amann Bangladesh Ltd.,1695,Active,"Md. Rokonuzzaman, Managing Director","Civil Sarwar Complex (2nd, 3rd & 4th floor), Plot # 42/A, Road # 17, Sector # 14, Uttara, Dhaka-1230","Plot # RS 2497-98, Tapirbari, Tengra, Mawna, Sreepur, Gazipur","791493436, 01777752302",,rokon.zaman@amann.com,www.amann.com,High quality sewing thread,https://www.bgapmea.org/index.php/member/member_details/1316
Dipayon Printing & Packaging Ltd.,1675,Active,"Dipok Kumar Sarker , Managing Director","Dholpur, Ashulia, Savar, Dhaka","Dholpur, Ashulia, Savar, Dhaka","9611977, 01730903988",,dipayom11@gmail.com,,Printing & Packing,https://www.bgapmea.org/index.php/member/member_details/1304
APL Accessories,2079,Active,"Kazi Fazlul Hoque, Proprietor","Panjora, Nagari, Kaligonj, Gazipur","Panjora, Nagari, Kaligonj, Gazipur",01819535936,,kazi.arjune@gmail.com,,"Poly, Hang Tag, Price Tag, Photo Card, Woven Label",https://www.bgapmea.org/index.php/member/member_details/1698
Divine Packaging Ltd.,1149,Active,"Md. Hasanuzzaman, Managing Director","House # 348, Road # 26, New DOHS Mohakhali, Dhaka","Kayerpara, Chowgacha, Jeshore.","9886163, 8816000, 9889707, 9862528, 01730033005",,"zaman@divinetextile.com, management@divinetextile.com",,Printed Poly Bag.,https://www.bgapmea.org/index.php/member/member_details/181
A. H. Packaging & Accessories Ltd.,624,Active,"Alhaz Md. Anowar Hossain, Director","865/1, Dakkhin Khailkur, National University, Board Bazar, Gazipur","865/1, Dakkhin Khailkur, National University, Board Bazar, Gazipur",9810487,9804550,ahpackaging@fancybd.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Collar Inser, Butterfly.",https://www.bgapmea.org/index.php/member/member_details/6
AKH Packaging & Accessories Ltd.,528,Active,"Mohammad Firoz Uddin , Director","133-134, Hemayetpur, Savar, Dhaka","Horindhara, Tannery Road, Hemayetpur, Savar, Dhaka.","7744001, 01713043259",7741831,"firoz@akhfashions.com, shihab_akhp@akhfashions.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Photo Card/Photo Board, Sewing Thread,Drawstring Printed Poly Bag.",https://www.bgapmea.org/index.php/member/member_details/36
A. N. Accessories Industries,1198,Active,"Mohammed Alamgir, Proprietor","Nayahat, Baktapur, Oxizen Quish Link Road, Panchlish, Chattogram","Nayahat, Baktapur, Ward # 3, Oxizen Quish Link Road, Panchlish, Chattogram","031-2584187, 2584860, 01713-124713, 01819-386989",,"anaccessories70@yahoo.com, anaccessories70@gmail.com",,"Elastic,/Non Elastic, Lace, Sewing Thread.",https://www.bgapmea.org/index.php/member/member_details/11
Environ Bangladesh Ltd.,1509,Active,"Mr. Alim Ahmed , Managing Director","Apt # A4, House # 113A, Gulshan-2, Dhaka","62/3 Neeler Para, Joydevpur, Gazipur, Dhaka.","02 55049696, 550499698 Cell : 01732661765",,"environbangladesh@gmail.com, info@environbangladesh.com",,Corrogated Carton,https://www.bgapmea.org/index.php/member/member_details/1144
Enam Trims Ltd.,1819,Active,"Abu Ubida Md. Zunayed, Director","Shamair, Birulia, Savar, Dhaka-1340","Shamair, Birulia, Savar, Dhaka-1340","+880 9617222121, Cell: 01847424803",,"info@enamtrims.com, zunayed@enamtrims.com",www.enamtrims.com,"Label, Tag, Box, Barcode",https://www.bgapmea.org/index.php/member/member_details/1459
Best Silica Gel Packaging,2086,Active,"Md. Salahuddin, Managing Partner","18 No. Golartek, Darussalam, Mirpur, Dhaka-1216","House # 17, Lakeview Road, Block-K, Eastern Housing 2nd Phase, Rupnagar, Mirpur, Dhaka-1216",01997702200,,ceo@bestsilicagel.com,www.bestsilicagel.com,"All kinds of Desiccant, Silica Gel Desiccant, Paper Gum Tape, Printed Gum Tape",https://www.bgapmea.org/index.php/member/member_details/1707
Buttons & Trims Ltd.,1125,Active,"Zahur Ullah, Chairman","33/B, Malibagh Chowdhury Para, Dhaka-1219","Plot # S-23, 24, 25 BSCIC Industrial Estate, Noakhali,","9353241, 01711531917, 01711-422813",8312885,b&t@gtexltd.com,,Button,https://www.bgapmea.org/index.php/member/member_details/121
Digital Packaging & Accessories,1158,Active,"Nurul Islam Mridha, Proprietor","Khowaznagar, Azimpara, Karnafully, Chattogram","Khowaznagar, Azimpara, Karnafully, Chattogram",0183-1142877,,dpactgbd@gmail.com,,"Corrugated Carton, Back Board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Price Tag, Tissue Paper, Poly Bag, Hanger.",https://www.bgapmea.org/index.php/member/member_details/176
Easy Tex Limited,1757,Active,"Mr. Mohammad Rafiqul Islam, Managing Director","Boripara, Eirpur, Ashulia, Dhaka-1241","Boripara, Eirpur, Ashulia, Dhaka-1241",01716856162,,easytexlimited@gmail.com,,"Corrugated Carton, Interlining",https://www.bgapmea.org/index.php/member/member_details/1400
Aroma Tex & Accessories Ltd.,1498,Active,"Mohammad Moniruzzaman , Managing Dercetor","House # 419, Road # 30, New DOHS Mohakhali, Dhaka.","Gazirchat (South Para), Alia Madrasha, Ashulia, Savar, Dhaka.","01920 899474, 01819 882183",,monir@aromalinkbd.com,,"Hanger, Elastic, Belt, Lace, Drawstring",https://www.bgapmea.org/index.php/member/member_details/1132
AGQ Accessories Ltd.,1832,Active,"Md. Khairul Islam, Chairman","Priyanka City, House-01, Road-01, Sector-12, Uttara, Dhaka","Durgapur, Kathgora, Ashulia, Savar, Dhaka",01842012961,,agqaccessories@gmail.com,,"Sewing Thread, Jecard Elastic, Crosset Elastic, Narrow Fabric (Twill Tape), Drawsting, Covering Rubber, Gum Tape, Rib Tape, Plastic Tie Pin",https://www.bgapmea.org/index.php/member/member_details/1471
Chiklee Trims & Accessories Ltd.,1858,Active,"Md. Shahin Mohammad Habibullah, Managing Director","4, Bijoy Nagar (10th floor), Dhaka-1000.","578, Sharifpur (Taltola), National University, Gazipur-1704","+880-2-41070046, 41070047, Cell: 01713035459",,shahinhabibullah@gmail.com,,"Duplex Board, Elastic, Gum Tape, PP Poly Bag, Plastic Hanger",https://www.bgapmea.org/index.php/member/member_details/1494
Dada Accessories Limited.,862,Active,"S.M. Abdul Wadud, Managing Director","Jamuna Future Park, Ka-244, Kuril, Progoti Sharani, Baridhara, Dhaka","Abder, Telihati, Joina Bazar, Sreepur, Gazipur","8411854, 8417921-2, 01711564992",841379,info@dadagroup-bd.com,www.dadagroup-bd.com,Poly Bag.,https://www.bgapmea.org/index.php/member/member_details/155
Bori Garmaent Accessories Co.Ltd.,1364,Active,"Peng Xianzhi, Chairman","House-242, 2nd Floor, Lane-03 Baridhara, DOHS , Dhaka","370/2, Anwar Jung Road, Ward # 05, Ashulia, Savar, Dhaka-1341","01799436655, 01799229988, 01686969191",,hannah@boribd.com,,"Hangtag, labels, Stickers, Paper Bags, Paper Packaging Bags.",https://www.bgapmea.org/index.php/member/member_details/1003
Elegant Accessories Ltd.,1554,Active,"Mrs. Ruba Ahmed , Chairman","AJ Heights Cha-72/1/D, Progoti Sarani, Uttar Badda, Dhaka-1212","Bokran, Monipur, Vobanipur, Mirzapur, Gazipur","02 58816599, 0258814750",029842417,,www.elegant.com.bd,"Carton, Poly Bag, Black Board, Neck Board, Zipper, Hanger, Sweing Thread, Button",https://www.bgapmea.org/index.php/member/member_details/1185
Adhuna Accessories Ltd.,1982,Active,"Chowdhury Junayed Hossain, Managing Director","12, Yakub Nagar, Firingee Bazar, Kotowali, Chattogram","12, Yakub Nagar, Firingee Bazar, Kotowali, Chattogram","031-639530, Cell: 01713069436",,"junayed@adhunabd.com, sales@adhunabd.com",www.adhunabd.com,"Hang Tag, Price Tag, Barcode, Photo Box, Photo inlay, Back Board, Neck Board, Printed Label, Sticker, Tissue Paper, Sillica Gel",https://www.bgapmea.org/index.php/member/member_details/1620
Adil Trims,2111,Active,"S M Arifur Rahman, Proprietor","Paka Rastar Matha, BSRM Gate, Ward No. 09, Zafrabad, Akbaeshah, PS: Chattogram-4317","Paka Rastar Matha, BSRM Gate, Ward No. 09, Zafrabad, Akbaeshah, PS: Chattogram-4317",01715183313,,adiltrimsbd@gmail.com,,"Elastic, Twill Tape, Other Tape, Draw Cord, Drawstring",https://www.bgapmea.org/index.php/member/member_details/1732
Biswas Packaging Ind. Ltd.,53,Active,"Md. Bayazid Biswas, Managing Director.","299/2 A, Free School Street Road, Dhaka.","Rajfulbaria, Savar, Dhaka",9675925,8613367,bayazidgroup@yahoo.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/109
Alpha Accessories & Agro Export Ltd.,1518,Active,"Mr. Md. Arzan Ali , Managing Director","Nowapara (Katakhali), Fakirhat, Bagerhat.","Khulna-Mongla Road, Nowapara(Katakhali), Fakirhat, Bagerhat","01713425076, 88 0466356120",88 04663 56012,alphaagroig@gmail.com,,Printing & Packaging,https://www.bgapmea.org/index.php/member/member_details/1152
Basit Accessories Ltd.,1425,Active,"Mr. Rezaul Karim, Managing Director","85, Dilkhushabug, Mondal Plaza ( 4th Floor), Birulia Road, Savar, Dhaka-1340.","165/5, West Rajason, Savar, Dhaka-1340",7744487 Fax: 7741386 Cell: 01720067367,7741386,basitacc@gmail.com,www.bud.com.bd,"BOPP Poly, Back Board, Neck Board, Gum Tape, Printed Label, Back Board, Neck Board.",https://www.bgapmea.org/index.php/member/member_details/1063
EMS Apparels Ltd.,1392,Active,"Dr. Mesba Faruqui , Managing Director","House No-532 (2nd Floor), Road No-11, Baridhara DOHS, Dhaka-1206.","Dag # 3288, Mouza-Gobindobari, Barenda, Kashimpur, Gazipur sadar, Gazipur","8410008, 8416151-52, 01730320333",8417496,"faruqui@multi-fabs.com, drmesba@multi-fabs.com",www.multi-fabs.com,"Cartoon, Poly Bag (PP, LDPE, LLDPE, HDPE,) Woven Label, Printed Label, Elastic, Drawstring, Twill Tape, Hang tag, Embroidery, Sewing Thread, Photo Card, Barcode, Back Board, Neck Board etc.",https://www.bgapmea.org/index.php/member/member_details/1039
Esquire Accessories Ltd.,813,Active,"Md. Ehsanul Habib, Managing Director","Ideal Trade Centre 102, Shaheed Tajuddin Ahmed Sarani Tejgaon I/A, Dhaka","Jamaldi, Gazaria, Munshigonj",09602333888,8122181,"eal@esquirebd.com, kazal@esquirebd.com, kazalesq@gmail.com",www.esquire.com.bd,"Corrugated Carton, Back Board, Neck Board, Hang Tag, Price Tag, Tissue Paper, Printed Poly Bag, Elastic, Drawstring, Hanger, Collar Insert, Butterfly, Sewing Thread, Printed Label, Gum Tape",https://www.bgapmea.org/index.php/member/member_details/205
Etasia (BD) Limited,898,Active,"Tang Tuen Ha Ada, Managing Director","House# 60 (Old), 86 (New), B.B. Road, Narayangonj.","Jamirdia,Masterbari, Valuka, Mymenshing","8836784, 01922551712",8829515,atang@etasiabd .com,,Printed Poly Bag.,https://www.bgapmea.org/index.php/member/member_details/208
Explore Packaging Industries Ltd.,1565,Active,"Mr.Azizur Rahman , Managing Director","12 DIT Avenue Extension (East), Alam Tower (1st Floor), 207 Motijheel C/A Dhaka-1000.","901, East Dogair, Sarulia, Demra, Dhaka-1361","88 02 9513326, 01762750561",,Explore.ind.ltd17@gmail.com,,"Carton, Back Board, Neck Board, Gum Tape, Hanger,Poly Bag",https://www.bgapmea.org/index.php/member/member_details/1196
Columbia Multi-Tech (JV) Ltd.,548,Active,"Md. Saiful Hoque, Managing Director","Altas Rangs Plaza (6th floor), 7, Shekh Mujib Road Agrabad C/A, Chattogram","Block # B, Plot # B-6 & B-9, BSCIC Industrial Estate, Nasirabad, Chattogram-4210","+88-02333311019-21, 725455, 723599",+88-031-02333310013,info@cncgroupbd.com,www.cncgroupbd.com,Hanger,https://www.bgapmea.org/index.php/member/member_details/141
East-Asia Accessories Co. Ltd.,529,Active,"Mr. Mohiuddin Ahmed, Chairman","6, South Khapara Road, North Auuchpara, Tongi, Gazipur","Gasa, Ward # 36, Gazipur City Corporation, Gazipur","9815916, 9815917, 01711544930, 01912117807",,eastasiathread@yahoo.com,,"Sewing Thread, Drawstring/ Draw Cord Elastic Cord, Printed Label.",https://www.bgapmea.org/index.php/member/member_details/190
Al-Noor Printing & Accessories Ltd.,532,Active,"Md. Javed Masud, Managing Director","291, Fakirapul, Dhaka.","389, Shimrail, Siddirgonj, Narayanganj",7192295,7193168,joarder124@gmail.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Photo Card, Fashion Board etc.",https://www.bgapmea.org/index.php/member/member_details/47
Consort Pack Ltd.,157,Active,"Kazi Nazrul Islam, Managing Director","Hazi Ahmed Sarak, Road # 8, Bashundhara R/A, Uttar Agrabad, Chattogram","Hazi Ahmed Sarak, Road # 8, Bashundhara R/A, Uttar Agrabad, Chattogram","031-727383, 01613102352, 01613102346",,"consortpackltd@yahoo.com, consortpackltd@gmail.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/145
Amin Brothers Acc.Ltd.,1079,Active,"Mr. Md. Ruhul Amin Bhuiyan, Managing Director","61, Motijheel C/A, Red Cresent Bhaban (Level-5) , Dhaka-1000","Mouchak, Kaliakoir, Gazipur",9567142,9566910,n_amin07@yahoo.com,,"Carton, Poly Bag, Elastic, Drawstring, Tread Conning, PVC Tape, Gum Tape, Label Printing, Fabrics printing.",https://www.bgapmea.org/index.php/member/member_details/54
Evergreen Packaging and Accessories Ltd.,814,Active,"Md. Nazrul Islam, Managing Director","5007/A, Ward # 41, South Patenga, Golden Beach Road, Chattogram","5007/A, Ward # 41, South Patenga, Golden Beach Road, Chattogram","031-2580907, 01711760070",031-2580907,evergreenpack@yahoo.com,,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/211
Badsha Accessories Ltd.,1932,Active,"Kamal Uddin Ahmed, Director","Holland Center (8th floor), Cha-72/1-B, Progoti Sharoni, Middle Badda, Dhaka-1212","Jamirdia, Habirbari, Valuka, Mymensingh","02 48810871-78, 01844083392",,"info@badshatex.com, accounts.ho@pkbdl.com",www.pkbdl.com,"Master Carton, Drawstring, Elastic, Drawcord, Twill Tape, Gum Tape, Label, Rubber Patch, Silicon Patch, Poly Bag, Photo Card, Butterfly, Hang Tag, Back Board, Neck Board, Coller Insert, Coller Bone, PVC Box, Price Tag, Size Tag etc.",https://www.bgapmea.org/index.php/member/member_details/1569
Badsha Industries Ltd.,1906,Active,"Md. Saiful Islam (Sabuj), Managing Director","C-18/34, Molla Tower (1st floor), Chayabithi, Savar, Dhaka","BRS Dag No. 5192, Dosaied A.K. School & College Road, Ashulia, Savar, Dhaka",01969111000,,sabuz65@yahoo.com,,"Label, Screen Print, Elastic, Twill Tape, Leather Patch, Rubber Patch etc.",https://www.bgapmea.org/index.php/member/member_details/1549
Chowdhury Accessories,1953,Active,"Md. Shamim Chowdhury, Proprietor","Chowdhury Bhaban, Rugunathpur, Jorargonj, Mirsharai, Chattogram","Chowdhury Bhaban, Rugunathpur, Jorargonj, Mirsharai, Chattogram",01819977332,,chy.accessories@gmail.com,,"Poly, Gum Tape, Twill Tape, BOPP etc.",https://www.bgapmea.org/index.php/member/member_details/1585
Al-Arafah Packaging Industries Ltd.,1579,Active,"Md. Ali Mojumder , Managing Director","22/1, Arambag (1st Floor), Motijheel, Dhaka-1000.","1/1 Bashura Board Bazar, National University, Gazipur Sadar, Gazipur-1704","Tel : 01819217921, 01740919108",,alarafahpackaging@gmail.com,,"Carton, Back Board, Neck Board, Gumtape, Poly Bag, Hanger, Lamination.",https://www.bgapmea.org/index.php/member/member_details/1210
A-Tex International Ltd.,1098,Active,"Claus Tjaerby, Managing Director","91, Mohakhali C/A, (1st Floor), Dhaka","Shirir Chala, Vabanipur, Gazipur Sadar, Gazipur",8833213,8833215,"skm@a-tex.com, info@a-tex.com, ponkoj.roy@a-tex.com",www.a-tex.com,"Zipper Slider, Thread Coning, Hook & Loop, Sticker, Labels, Hang Tag",https://www.bgapmea.org/index.php/member/member_details/80
Ema Printing & Packaging Ltd.,1333,Active,"Mohammad Mehadi Hasan , Chairman","Belishwar, Shah Belishwar-1800, Dhamrai, Dhaka","Belishwar, Shah Belishwar-1800, Dhamrai, Dhaka","01711044686, 01711207984",,emapackaging@gmail.com,,"Carton, Back Board, Neck Board, Hang Tag, Price Tag, Size Tag, Photo Inlay etc.",https://www.bgapmea.org/index.php/member/member_details/968
Fair Poly Pack Limited,1164,Active,"Professor M. M. Quader Chowdhury, Managing Director","Plot # S-52, BSCIC I/E, Kalurghat, Chattogram-4212","Plot # S-52, BSCIC I/E, Kalurghat, Chattogram-4212",031-2573145,,,,"Printed Poly Bag, BOPP Bag.",https://www.bgapmea.org/index.php/member/member_details/226
Eco Healing Accessories Ltd.,1942,Active,"Md. Saidus Saklain, Managing Director","House # 20, Lane # 19, Block # A, Section # 10, Mirpur, Dhaka-1216","Plot # 1074, Aragaon, Bashaid, Ashulia-1341, Savar, Dhaka",01717623247,,ecohealing.acc@gmail.com,,"Poly bag, Label, Elastic, Sticker, Sewing Thread, Tag1942",https://www.bgapmea.org/index.php/member/member_details/1578
Champion Accessories,1608,Active,"Mohammad Monir Hossain, Proprietor","Suit # B2, House#32, Road#01 (Jashim Uddin Avenue, Sector#03, Uttara, Dhaka","Holding # 652, Road # 04, Block # D, Kaliakoir, Birulia, Savar, Dhaka","7912966, 017114115181, 01997313131",,champion_accessories@yahoo.com,,"Sequin Dix, nylon Thread, Adhasive Paper Tape, Spray Gum, Metalic Thread",https://www.bgapmea.org/index.php/member/member_details/1237
Dressdevice Industries Ltd.,1633,Active,"Mr.Maksudur Rabbi , Managing Director","House# 492/4 (5th Floor) Road #09 (West), Baridhara, DOHS Dhaka-1206","26, Milk Vita Road, Section#07, Mirpur, Dhaka.",01711568233,,rabbi@dressdevice.com,,"All Kind of Paper Printing, Ribon & Care Label Printing",https://www.bgapmea.org/index.php/member/member_details/1274
Digital Accessories Industries Ltd.,1466,Active,"Md. Nur Uddin , Managing Director","6, Faisal Dastagir Complex, D.T Road, Pahartali, Chattogram","Middle Sonaichori, Baroawlia, Sitakunda, Chattogram","031-2770176,",,digitalaccessoriesbd@yahoo.com,,"Sewing Thread, Yarn Dyeing, Polyster Filament Dyes & Chemical.",https://www.bgapmea.org/index.php/member/member_details/1103
AM. Co. Tex Industries,1848,Active,"Saleh Ahmed, Proprietor","28/101/1, Noraibag Razakhali, Demra, Dhaka-1360","28/101/1, Noraibag Razakhali, Demra, Dhaka-1360",01676994420,,amcotexindustries@gmail.com,,"Elastic, Twill Tap, Design Tape/Non Elastic Tape",https://www.bgapmea.org/index.php/member/member_details/1484
Cherry Button Ltd.,1815,Active,"Ma Miaoyan, Chairman","House # 408 (3rd floor), Lane No. 07 (West Side), Baridhara DOHS, Dhaka-1206","Vannara, Mouchak, Kaliakair, Gazipur",01875588176,,"jessica@cherrybutton.net, info@cherrybutton.net",,"Metal Button, Rivet, Snap Button, Eyelet, D-ring, Zipper, Puller, Buckle, Label, Patch, Badge",https://www.bgapmea.org/index.php/member/member_details/1457
Dada Zipper Ltd.,782,Active,"Mr. S. M. Abdul Wadud, Managing Director","Jamuna Future Park Level-6 (West), Ka-244, Kuril, Baridhara, Dhaka","Plot # 262-263, Abder, Telihati, Joina bazar, Sreepur, Gazipur.","8411854, 8417921-2, 01711564992",8413779,info@dadagroup-bd.com,dadagroup-bd.com,Metal Zipper.,https://www.bgapmea.org/index.php/member/member_details/158
Al-Muslim Accessories Ltd.,708,Active,"S. M. Amzad Hossain, Managing Director","1101, DIT Road, Malibagh Chowdhury Para, Dhaka","Nishchintapur, Zirabo, Ashulia, Savar, Dhaka","9336501, 937034, 01711566511",8316920,"amzad@almuslimgroup.net, management_dnd@almuslimgroup.net, mozammel@almuslimgroup.net",,"Elastic, Twill Tape, Embroidery, Drawstring, Draw Cord, Back Board, Neck Board, Hang Tag, Price Tag, Photo Card/Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/45
Eco Via Ltd.,1839,Active,"Riasat Zaman, Chairman","Medona Tower (11th floor), 28 Mohakhali C/A, Bir Uttam AK Khandakar Sarok, Banani, Dhaka-1213","14, Fakir Bari Road, Pagar, Tongi, Gazipur","01987967206, 01931402996",,"rashik@ecovialtd.com, riasat@ecovialtd.com",www.ecovialtd.com,Garments Accessories,https://www.bgapmea.org/index.php/member/member_details/1477
Eboto Packaging Ltd.,650,Active,"Md. Nurul Haque Miah, Managing Director","Holding # 02, Kamargaon, Pubail, Gazipur-1710","Holding # 02, Kamargaon, Pubail, Gazipur-1710","8912316, 01729098851, 01722102452",8956774,"info@basicshirts.net, basic.shirts@gmail.com",,"Corrugated Carton, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/193
Bangla Poly & Pacakging Ind. Ltd.,982,Active,"Hasan Mahmud , Managing Director","House # 365/4 Road#06, Baridhara DOHS Baridhara, Dhaka.","Hatiabo, Porabari, PO: B.O.F, Gazipur City Corporation, Gazipur",01711528470,,dsignace@gmail.com,,"PP Bag (except shoping bag), ADP Bag, Various types of Carton.",https://www.bgapmea.org/index.php/member/member_details/93
